seed,robot count,iteration_interval,spring_constant,damping_coefficient,iteration,connectivity,converged,moved_distance,sum_consumed_energy,max_consumed_energy
0,32,0.1,0.4,0.1,12801,TRUE,FALSE,5087.351752,34088.24597,1355.125471
0,32,0.1,0.4,0.15,3500,TRUE,TRUE,4079.868017,16069.27286,549.6732311
0,32,0.1,0.4,0.2,3302,TRUE,TRUE,3693.607935,15196.34322,520.7887581
0,32,0.1,0.4,0.25,2763,TRUE,TRUE,3502.960785,13958.74437,475.0029243
0,32,0.1,0.4,0.3,2818,TRUE,TRUE,3741.175433,14431.12015,483.2993154
0,32,0.1,0.4,0.35,2505,TRUE,TRUE,3704.555331,13788.13686,463.1170605
0,32,0.1,0.4,0.4,2501,TRUE,TRUE,3669.778174,13767.05038,473.0239652
0,32,0.1,0.4,0.45,2254,TRUE,TRUE,3508.371823,12972.54739,438.3825945
0,32,0.1,0.4,0.5,1997,TRUE,TRUE,3384.697856,12382.75738,413.0018891
0,32,0.1,0.4,0.55,2195,TRUE,TRUE,3502.673878,12916.14012,422.0438322
0,32,0.1,0.4,0.6,1960,TRUE,TRUE,3404.583479,12294.77398,419.7498467
0,32,0.1,0.4,0.65,1732,TRUE,TRUE,3163.429717,11439.96904,379.2885753
0,32,0.1,0.4,0.7,1698,TRUE,TRUE,3269.517086,11535.42317,391.7032903
0,32,0.1,0.4,0.75,1829,TRUE,TRUE,3386.149799,11974.20794,408.6822457
0,32,0.1,0.4,0.8,1737,TRUE,TRUE,3248.360559,11693.55472,394.0487205
0,32,0.1,0.4,0.85,1807,TRUE,TRUE,3168.048685,11491.27102,385.9650715
0,32,0.1,0.4,0.9,1684,TRUE,TRUE,3280.876338,11621.29332,386.8564838
0,32,0.1,0.4,0.95,1730,TRUE,TRUE,3213.527901,11540.38716,400.2657227
0,32,0.1,0.4,1,1904,TRUE,TRUE,3278.461571,11894.0484,420.3843717
0,32,0.1,0.4,1.05,1713,TRUE,TRUE,3194.416539,11414.1315,384.6468848
0,32,0.1,0.4,1.1,2540,TRUE,TRUE,3344.863869,13138.76759,440.3509348
0,32,0.1,0.4,1.15,2417,TRUE,TRUE,3247.081025,12725.66691,429.7662777
0,32,0.1,0.4,1.2,2019,TRUE,TRUE,3189.786385,11971.22458,413.5740129
0,32,0.1,0.4,1.25,2119,TRUE,TRUE,3273.345983,12385.40304,413.8631535
0,32,0.1,0.4,1.3,1893,TRUE,TRUE,3082.38012,11492.13325,381.7348845
0,32,0.1,0.4,1.35,2120,TRUE,TRUE,3139.574926,12071.2088,406.2892874
0,32,0.1,0.4,1.4,1995,TRUE,TRUE,3224.573607,12092.7212,415.7676991
0,32,0.1,0.4,1.45,2002,TRUE,TRUE,3100.682866,11770.24907,402.6403469
0,32,0.1,0.4,1.5,2038,TRUE,TRUE,3105.894325,11865.82487,398.0791771
0,32,0.1,0.4,1.55,2343,TRUE,TRUE,3259.417172,12680.71891,428.0781167
0,32,0.1,0.4,1.6,2555,TRUE,TRUE,3214.606634,12909.0699,441.5559679
0,32,0.1,0.4,1.65,2223,TRUE,TRUE,3127.783132,12243.71377,419.3045576
0,32,0.1,0.4,1.7,2381,TRUE,TRUE,3102.184149,12374.87408,421.6557522
0,32,0.1,0.4,1.75,2286,TRUE,TRUE,3115.422379,12313.00145,432.1876912
0,32,0.1,0.4,1.8,2662,TRUE,TRUE,3156.338863,12966.65269,437.3671638
0,32,0.1,0.4,1.85,2591,TRUE,TRUE,3183.18502,12950.02343,442.8967701
0,32,0.1,0.4,1.9,2470,TRUE,TRUE,3086.614935,12603.75214,437.5479931
0,32,0.1,0.4,1.95,3244,TRUE,TRUE,3217.284841,14031.91878,529.5750449
0,32,0.1,0.4,2,2537,TRUE,TRUE,3216.15034,13035.01002,442.8772395
0,32,0.1,0.4,2.05,2189,TRUE,TRUE,3059.235695,12053.69756,407.7598182
0,32,0.1,0.4,2.1,2354,TRUE,TRUE,3110.206088,12435.20735,430.9775806
0,32,0.1,0.4,2.15,2395,TRUE,TRUE,3058.610989,12358.38093,436.6846912
0,32,0.1,0.4,2.2,2392,TRUE,TRUE,3055.133181,12437.46601,432.6080372
0,32,0.1,0.4,2.25,2675,TRUE,TRUE,3159.218822,13068.54905,456.0503115
0,32,0.1,0.4,2.3,2319,TRUE,TRUE,3004.188211,12138.04933,434.4960731
0,32,0.1,0.4,2.35,3665,TRUE,TRUE,3146.9018,14724.85446,530.2237866
0,32,0.1,0.4,2.4,2658,TRUE,TRUE,3163.242741,13033.13154,441.5250884
0,32,0.1,0.4,2.45,2579,TRUE,TRUE,3042.493217,12671.02853,428.9731151
0,32,0.1,0.4,2.5,3146,TRUE,TRUE,3157.109166,13804.89343,464.367405
0,32,0.1,0.4,2.55,2477,TRUE,TRUE,3109.544246,12625.62989,440.4867649
0,32,0.1,0.4,2.6,3089,TRUE,TRUE,3152.838741,13733.42232,476.385728
0,32,0.1,0.4,2.65,2765,TRUE,TRUE,3098.145085,13034.68146,451.6366398
0,32,0.1,0.4,2.7,3488,TRUE,TRUE,3181.356419,14388.58801,513.4153165
0,32,0.1,0.4,2.75,2552,TRUE,TRUE,2968.548851,12487.10327,435.4544406
0,32,0.1,0.4,2.8,3185,TRUE,TRUE,3093.833739,13707.91124,486.3761698
0,32,0.1,0.4,2.85,3194,TRUE,TRUE,3062.866558,13749.57498,510.5158642
0,32,0.1,0.4,2.9,3284,TRUE,TRUE,3119.967362,13969.02479,472.3712018
0,32,0.1,0.4,2.95,3063,TRUE,TRUE,3162.668382,13739.07663,472.0823733
0,32,0.1,0.4,3,3094,TRUE,TRUE,3016.928237,13416.96176,472.2178948
0,32,0.1,0.4,3.05,3080,TRUE,TRUE,3076.346382,13626.06624,460.6951126
