seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
0,2,0.5,0.2,64,8.836644703,TRUE,TRUE
0,2,0.5,0.4,68,9.741796989,TRUE,TRUE
0,2,0.5,0.6,41,4.056533783,TRUE,TRUE
0,2,0.5,0.8,63,8.588683739,TRUE,TRUE
0,2,0.5,1,34,1.05158078,TRUE,TRUE
0,2,0.5,1.2,1,0,TRUE,TRUE
0,2,0.5,1.4,53,5.250863149,TRUE,TRUE
0,2,0.5,1.6,56,4.394187176,TRUE,TRUE
0,2,0.5,1.8,103,13.21183792,TRUE,TRUE
0,2,0.5,2,81,6.249700257,TRUE,TRUE
0,2,0.5,2.2,68,2.400331999,TRUE,TRUE
0,2,0.5,2.4,109,8.418138851,TRUE,TRUE
0,2,0.5,2.6,119,9.033180835,TRUE,TRUE
0,2,0.5,2.8,110,5.675066287,TRUE,TRUE
0,2,0.5,3,130,8.35348589,TRUE,TRUE
0,2,0.5,3.2,123,5.803713862,TRUE,TRUE
0,2,0.5,3.4,142,8.021950042,TRUE,TRUE
0,2,0.5,3.6,123,4.288878232,TRUE,TRUE
0,2,0.5,3.8,125,3.905999267,TRUE,TRUE
0,2,0.5,4,132,4.090825468,TRUE,TRUE
0,2,0.5,4.2,125,3.113692957,TRUE,TRUE
0,2,0.5,4.4,151,5.162325371,TRUE,TRUE
0,2,0.5,4.6,159,5.462370064,TRUE,TRUE
0,2,0.5,4.8,192,9.331015718,TRUE,TRUE
1,2,0.5,0.2,67,9.485005171,TRUE,TRUE
1,2,0.5,0.4,61,8.291327168,TRUE,TRUE
1,2,0.5,0.6,48,5.554634867,TRUE,TRUE
1,2,0.5,0.8,99,10.74976196,TRUE,TRUE
1,2,0.5,1,43,4.073450531,TRUE,TRUE
1,2,0.5,1.2,1,0,TRUE,TRUE
1,2,0.5,1.4,50,4.260547616,TRUE,TRUE
1,2,0.5,1.6,77,9.134923723,TRUE,TRUE
1,2,0.5,1.8,81,8.289888848,TRUE,TRUE
1,2,0.5,2,90,8.141916286,TRUE,TRUE
1,2,0.5,2.2,96,7.427020159,TRUE,TRUE
1,2,0.5,2.4,1,0,TRUE,TRUE
1,2,0.5,2.6,92,3.833140017,TRUE,TRUE
1,2,0.5,2.8,105,4.846870503,TRUE,TRUE
1,2,0.5,3,141,10.64771551,TRUE,TRUE
1,2,0.5,3.2,68,0.965632486,TRUE,TRUE
1,2,0.5,3.4,127,5.456992024,TRUE,TRUE
1,2,0.5,3.6,153,8.998931441,TRUE,TRUE
1,2,0.5,3.8,164,10.05384556,TRUE,TRUE
1,2,0.5,4,89,1.310996877,TRUE,TRUE
1,2,0.5,4.2,148,5.311325025,TRUE,TRUE
1,2,0.5,4.4,185,10.46213488,TRUE,TRUE
1,2,0.5,4.6,193,10.71621885,TRUE,TRUE
1,2,0.5,4.8,201,11.12006578,TRUE,TRUE
2,2,0.5,0.2,68,9.632899275,TRUE,TRUE
2,2,0.5,0.4,34,2.388090604,TRUE,TRUE
2,2,0.5,0.6,57,7.45647496,TRUE,TRUE
2,2,0.5,0.8,1,0,TRUE,TRUE
2,2,0.5,1,43,4.083756876,TRUE,TRUE
