seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
0,25,0.25,1,794,483.2592172,TRUE,TRUE,0.5
1,25,0.25,1,940,519.8199287,TRUE,TRUE,0.5
2,25,0.25,1,834,496.5927605,TRUE,TRUE,0.5
3,25,0.25,1,1229,521.2682786,TRUE,TRUE,0.5
4,25,0.25,1,999,526.7979283,TRUE,TRUE,0.5
5,25,0.25,1,999,494.4216216,TRUE,TRUE,0.5
6,25,0.25,1,1165,500.3003226,TRUE,TRUE,0.5
7,25,0.25,1,1145,513.3788126,TRUE,TRUE,0.5
8,25,0.25,1,884,448.2194523,TRUE,TRUE,0.5
9,25,0.25,1,1115,519.1510636,TRUE,TRUE,0.5
10,25,0.25,1,1250,525.4586034,TRUE,TRUE,0.5
11,25,0.25,1,1270,524.3345032,TRUE,TRUE,0.5
12,25,0.25,1,1054,506.0921401,TRUE,TRUE,0.5
13,25,0.25,1,1140,528.6832884,TRUE,TRUE,0.5
14,25,0.25,1,965,518.2060197,TRUE,TRUE,0.5
15,25,0.25,1,929,497.5590473,TRUE,TRUE,0.5
16,25,0.25,1,1160,554.1292397,TRUE,TRUE,0.5
17,25,0.25,1,1300,545.2980583,TRUE,TRUE,0.5
18,25,0.25,1,945,508.9666574,TRUE,TRUE,0.5
19,25,0.25,1,930,480.9474495,TRUE,TRUE,0.5
0,25,0.25,1,674,504.8770653,TRUE,TRUE,0.7
1,25,0.25,1,629,506.3700819,TRUE,TRUE,0.7
2,25,0.25,1,850,513.1182923,TRUE,TRUE,0.7
3,25,0.25,1,974,528.1371985,TRUE,TRUE,0.7
4,25,0.25,1,720,526.4886902,TRUE,TRUE,0.7
5,25,0.25,1,625,471.6370297,TRUE,TRUE,0.7
6,25,0.25,1,705,504.2605342,TRUE,TRUE,0.7
7,25,0.25,1,655,491.95541,TRUE,TRUE,0.7
8,25,0.25,1,1025,500.9738744,TRUE,TRUE,0.7
9,25,0.25,1,655,523.6880542,TRUE,TRUE,0.7
10,25,0.25,1,728,507.4863738,TRUE,TRUE,0.7
11,25,0.25,1,860,531.339188,TRUE,TRUE,0.7
12,25,0.25,1,779,517.1401347,TRUE,TRUE,0.7
13,25,0.25,1,695,515.8999325,TRUE,TRUE,0.7
14,25,0.25,1,715,531.3380809,TRUE,TRUE,0.7
15,25,0.25,1,830,507.6581043,TRUE,TRUE,0.7
16,25,0.25,1,784,550.5715996,TRUE,TRUE,0.7
17,25,0.25,1,995,567.078149,TRUE,TRUE,0.7
18,25,0.25,1,753,532.1318281,TRUE,TRUE,0.7
19,25,0.25,1,655,483.2455003,TRUE,TRUE,0.7
0,25,0.25,1,589,520.1473039,TRUE,TRUE,0.9
1,25,0.25,1,579,533.6001459,TRUE,TRUE,0.9
2,25,0.25,1,479,493.3206432,TRUE,TRUE,0.9
3,25,0.25,1,815,534.8295177,TRUE,TRUE,0.9
4,25,0.25,1,510,520.6262225,TRUE,TRUE,0.9
5,25,0.25,1,525,497.2472175,TRUE,TRUE,0.9
6,25,0.25,1,574,520.6522166,TRUE,TRUE,0.9
7,25,0.25,1,549,506.9441085,TRUE,TRUE,0.9
8,25,0.25,1,460,463.0098962,TRUE,TRUE,0.9
9,25,0.25,1,594,514.8114049,TRUE,TRUE,0.9
10,25,0.25,1,500,479.8774839,TRUE,TRUE,0.9
11,25,0.25,1,565,496.6498717,TRUE,TRUE,0.9
12,25,0.25,1,550,518.3750129,TRUE,TRUE,0.9
13,25,0.25,1,519,511.5447862,TRUE,TRUE,0.9
14,25,0.25,1,509,514.0597754,TRUE,TRUE,0.9
15,25,0.25,1,649,508.9083664,TRUE,TRUE,0.9
16,25,0.25,1,700,555.3950263,TRUE,TRUE,0.9
17,25,0.25,1,634,555.7673929,TRUE,TRUE,0.9
18,25,0.25,1,665,534.4471513,TRUE,TRUE,0.9
19,25,0.25,1,540,481.5086379,TRUE,TRUE,0.9
0,25,0.25,1,425,498.103477,TRUE,TRUE,1.1
1,25,0.25,1,450,518.5913792,TRUE,TRUE,1.1
2,25,0.25,1,405,494.0789188,TRUE,TRUE,1.1
3,25,0.25,1,474,513.6300921,TRUE,TRUE,1.1
4,25,0.25,1,468,543.7843263,TRUE,TRUE,1.1
5,25,0.25,1,410,479.5018032,TRUE,TRUE,1.1
6,25,0.25,1,454,517.5778531,TRUE,TRUE,1.1
7,25,0.25,1,464,508.5939752,TRUE,TRUE,1.1
8,25,0.25,1,435,470.5993191,TRUE,TRUE,1.1
9,25,0.25,1,450,514.6421155,TRUE,TRUE,1.1
10,25,0.25,1,430,491.0355994,TRUE,TRUE,1.1
11,25,0.25,1,554,515.7065835,TRUE,TRUE,1.1
12,25,0.25,1,485,518.6281667,TRUE,TRUE,1.1
13,25,0.25,1,445,514.7490664,TRUE,TRUE,1.1
14,25,0.25,1,505,533.5050319,TRUE,TRUE,1.1
15,25,0.25,1,524,508.2934979,TRUE,TRUE,1.1
16,25,0.25,1,520,558.3665072,TRUE,TRUE,1.1
17,25,0.25,1,799,562.5184796,TRUE,TRUE,1.1
18,25,0.25,1,405,518.7495314,TRUE,TRUE,1.1
19,25,0.25,1,525,507.6058379,TRUE,TRUE,1.1
0,25,0.25,1,340,490.4201538,TRUE,TRUE,1.3
1,25,0.25,1,480,557.3933708,TRUE,TRUE,1.3
2,25,0.25,1,320,494.7718065,TRUE,TRUE,1.3
3,25,0.25,1,380,517.5303081,TRUE,TRUE,1.3
4,25,0.25,1,540,543.2967053,TRUE,TRUE,1.3
5,25,0.25,1,405,492.3968417,TRUE,TRUE,1.3
6,25,0.25,1,405,526.9986104,TRUE,TRUE,1.3
7,25,0.25,1,435,510.208571,TRUE,TRUE,1.3
8,25,0.25,1,480,501.5816335,TRUE,TRUE,1.3
9,25,0.25,1,350,504.9619087,TRUE,TRUE,1.3
10,25,0.25,1,370,481.6061581,TRUE,TRUE,1.3
11,25,0.25,1,489,516.9303236,TRUE,TRUE,1.3
12,25,0.25,1,459,521.7808866,TRUE,TRUE,1.3
13,25,0.25,1,454,535.4261332,TRUE,TRUE,1.3
14,25,0.25,1,379,526.5919106,TRUE,TRUE,1.3
15,25,0.25,1,530,517.5888804,TRUE,TRUE,1.3
16,25,0.25,1,530,578.5995758,TRUE,TRUE,1.3
17,25,0.25,1,474,552.1167491,TRUE,TRUE,1.3
18,25,0.25,1,409,518.521859,TRUE,TRUE,1.3
19,25,0.25,1,389,490.1322507,TRUE,TRUE,1.3
0,25,0.25,1,359,509.7508727,TRUE,TRUE,1.5
1,25,0.25,1,425,525.4032077,TRUE,TRUE,1.5
2,25,0.25,1,270,483.5098091,TRUE,TRUE,1.5
3,25,0.25,1,373,503.2450994,TRUE,TRUE,1.5
4,25,0.25,1,390,533.5764135,TRUE,TRUE,1.5
5,25,0.25,1,299,476.6818293,TRUE,TRUE,1.5
6,25,0.25,1,309,500.1606156,TRUE,TRUE,1.5
7,25,0.25,1,385,502.506655,TRUE,TRUE,1.5
8,25,0.25,1,315,476.1344159,TRUE,TRUE,1.5
9,25,0.25,1,375,524.2839686,TRUE,TRUE,1.5
10,25,0.25,1,339,500.8237779,TRUE,TRUE,1.5
11,25,0.25,1,440,543.1096828,TRUE,TRUE,1.5
12,25,0.25,1,335,529.5095726,TRUE,TRUE,1.5
13,25,0.25,1,390,550.5226419,TRUE,TRUE,1.5
14,25,0.25,1,389,536.5674756,TRUE,TRUE,1.5
15,25,0.25,1,325,494.1282608,TRUE,TRUE,1.5
16,25,0.25,1,345,529.6549506,TRUE,TRUE,1.5
17,25,0.25,1,295,518.1235274,TRUE,TRUE,1.5
18,25,0.25,1,340,509.3751658,TRUE,TRUE,1.5
19,25,0.25,1,390,497.9945852,TRUE,TRUE,1.5
0,25,0.25,1,310,514.4448075,TRUE,TRUE,1.7
1,25,0.25,1,300,513.6954518,TRUE,TRUE,1.7
2,25,0.25,1,275,499.4066947,TRUE,TRUE,1.7
3,25,0.25,1,338,539.0722492,TRUE,TRUE,1.7
4,25,0.25,1,350,539.0664232,TRUE,TRUE,1.7
5,25,0.25,1,275,483.6040697,TRUE,TRUE,1.7
6,25,0.25,1,290,509.9325732,TRUE,TRUE,1.7
7,25,0.25,1,440,514.0043844,TRUE,TRUE,1.7
8,25,0.25,1,335,486.7914332,TRUE,TRUE,1.7
9,25,0.25,1,340,511.5552586,TRUE,TRUE,1.7
10,25,0.25,1,299,493.6824983,TRUE,TRUE,1.7
11,25,0.25,1,329,507.5822535,TRUE,TRUE,1.7
12,25,0.25,1,320,528.6888319,TRUE,TRUE,1.7
13,25,0.25,1,420,540.8224636,TRUE,TRUE,1.7
14,25,0.25,1,293,535.6729736,TRUE,TRUE,1.7
15,25,0.25,1,384,508.0558805,TRUE,TRUE,1.7
16,25,0.25,1,305,536.7369643,TRUE,TRUE,1.7
17,25,0.25,1,294,530.9692473,TRUE,TRUE,1.7
18,25,0.25,1,275,512.2495947,TRUE,TRUE,1.7
19,25,0.25,1,405,504.9169809,TRUE,TRUE,1.7
0,25,0.25,1,255,504.242052,TRUE,TRUE,1.9
1,25,0.25,1,274,528.1917948,TRUE,TRUE,1.9
2,25,0.25,1,234,487.6512596,TRUE,TRUE,1.9
3,25,0.25,1,320,536.7923076,TRUE,TRUE,1.9
4,25,0.25,1,260,530.3942893,TRUE,TRUE,1.9
5,25,0.25,1,315,500.5135462,TRUE,TRUE,1.9
6,25,0.25,1,310,530.6593664,TRUE,TRUE,1.9
7,25,0.25,1,255,492.3535942,TRUE,TRUE,1.9
8,25,0.25,1,310,504.7372509,TRUE,TRUE,1.9
9,25,0.25,1,290,522.9654175,TRUE,TRUE,1.9
10,25,0.25,1,269,483.3428833,TRUE,TRUE,1.9
11,25,0.25,1,294,501.3966724,TRUE,TRUE,1.9
12,25,0.25,1,280,517.6348076,TRUE,TRUE,1.9
13,25,0.25,1,325,544.9574482,TRUE,TRUE,1.9
14,25,0.25,1,304,530.9177891,TRUE,TRUE,1.9
15,25,0.25,1,405,520.030689,TRUE,TRUE,1.9
16,25,0.25,1,250,533.7212529,TRUE,TRUE,1.9
17,25,0.25,1,300,526.5671115,TRUE,TRUE,1.9
18,25,0.25,1,275,520.8926938,TRUE,TRUE,1.9
19,25,0.25,1,245,477.4378217,TRUE,TRUE,1.9
0,25,0.25,1,254,505.6988403,TRUE,TRUE,2.1
1,25,0.25,1,245,517.4785461,TRUE,TRUE,2.1
2,25,0.25,1,195,485.8230601,TRUE,TRUE,2.1
3,25,0.25,1,320,546.1923216,TRUE,TRUE,2.1
4,25,0.25,1,300,551.7600122,TRUE,TRUE,2.1
5,25,0.25,1,285,497.659052,TRUE,TRUE,2.1
6,25,0.25,1,255,524.0482782,TRUE,TRUE,2.1
7,25,0.25,1,315,559.0425628,TRUE,TRUE,2.1
8,25,0.25,1,230,482.1342006,TRUE,TRUE,2.1
9,25,0.25,1,275,533.6783373,TRUE,TRUE,2.1
10,25,0.25,1,219,483.2950305,TRUE,TRUE,2.1
11,25,0.25,1,280,512.8124011,TRUE,TRUE,2.1
12,25,0.25,1,320,517.951767,TRUE,TRUE,2.1
13,25,0.25,1,230,522.8312672,TRUE,TRUE,2.1
14,25,0.25,1,245,533.3902798,TRUE,TRUE,2.1
15,25,0.25,1,295,509.3862663,TRUE,TRUE,2.1
16,25,0.25,1,235,522.1213226,TRUE,TRUE,2.1
17,25,0.25,1,254,551.422043,TRUE,TRUE,2.1
18,25,0.25,1,270,548.8040738,TRUE,TRUE,2.1
19,25,0.25,1,240,484.4216736,TRUE,TRUE,2.1
0,25,0.25,1,210,499.5023717,TRUE,TRUE,2.3
1,25,0.25,1,235,529.9540911,TRUE,TRUE,2.3
2,25,0.25,1,210,496.3151487,TRUE,TRUE,2.3
3,25,0.25,1,290,533.9104276,TRUE,TRUE,2.3
4,25,0.25,1,245,525.5361456,TRUE,TRUE,2.3
5,25,0.25,1,235,498.7405829,TRUE,TRUE,2.3
6,25,0.25,1,305,547.1047321,TRUE,TRUE,2.3
7,25,0.25,1,215,494.4895067,TRUE,TRUE,2.3
8,25,0.25,1,275,511.1072959,TRUE,TRUE,2.3
9,25,0.25,1,239,543.1259708,TRUE,TRUE,2.3
10,25,0.25,1,205,489.6208791,TRUE,TRUE,2.3
11,25,0.25,1,255,531.23536,TRUE,TRUE,2.3
12,25,0.25,1,215,519.9690641,TRUE,TRUE,2.3
13,25,0.25,1,245,516.4730833,TRUE,TRUE,2.3
14,25,0.25,1,240,544.1177421,TRUE,TRUE,2.3
15,25,0.25,1,295,508.6694891,TRUE,TRUE,2.3
16,25,0.25,1,205,533.935299,TRUE,TRUE,2.3
17,25,0.25,1,270,547.6182593,TRUE,TRUE,2.3
18,25,0.25,1,300,541.9723248,TRUE,TRUE,2.3
19,25,0.25,1,210,473.1397313,TRUE,TRUE,2.3
0,25,0.25,1,320,540.1079267,TRUE,TRUE,2.5
1,25,0.25,1,215,517.1419066,TRUE,TRUE,2.5
2,25,0.25,1,185,504.1890322,TRUE,TRUE,2.5
3,25,0.25,1,180,515.0014083,TRUE,TRUE,2.5
4,25,0.25,1,235,547.3185175,TRUE,TRUE,2.5
5,25,0.25,1,280,516.1503134,TRUE,TRUE,2.5
6,25,0.25,1,285,534.0580451,TRUE,TRUE,2.5
7,25,0.25,1,189,490.1068838,TRUE,TRUE,2.5
8,25,0.25,1,250,495.6571958,TRUE,TRUE,2.5
9,25,0.25,1,220,539.4568289,TRUE,TRUE,2.5
10,25,0.25,1,225,514.3313467,TRUE,TRUE,2.5
11,25,0.25,1,234,531.3400518,TRUE,TRUE,2.5
12,25,0.25,1,215,534.596372,TRUE,TRUE,2.5
13,25,0.25,1,200,526.408076,TRUE,TRUE,2.5
14,25,0.25,1,199,518.5639698,TRUE,TRUE,2.5
15,25,0.25,1,250,517.870506,TRUE,TRUE,2.5
16,25,0.25,1,235,547.5489529,TRUE,TRUE,2.5
17,25,0.25,1,250,552.8952283,TRUE,TRUE,2.5
18,25,0.25,1,225,543.041381,TRUE,TRUE,2.5
19,25,0.25,1,185,467.9834001,TRUE,TRUE,2.5
0,25,0.25,1,200,515.567962,TRUE,TRUE,2.7
1,25,0.25,1,185,506.1476293,TRUE,TRUE,2.7
2,25,0.25,1,150,493.6415732,TRUE,TRUE,2.7
3,25,0.25,1,255,556.8461782,TRUE,TRUE,2.7
4,25,0.25,1,200,537.0857218,TRUE,TRUE,2.7
5,25,0.25,1,195,500.1098506,TRUE,TRUE,2.7
6,25,0.25,1,204,503.6843519,TRUE,TRUE,2.7
7,25,0.25,1,250,520.0208011,TRUE,TRUE,2.7
8,25,0.25,1,240,492.1417075,TRUE,TRUE,2.7
9,25,0.25,1,205,518.9321576,TRUE,TRUE,2.7
10,25,0.25,1,230,521.0239269,TRUE,TRUE,2.7
11,25,0.25,1,180,505.2423825,TRUE,TRUE,2.7
12,25,0.25,1,190,524.8848733,TRUE,TRUE,2.7
13,25,0.25,1,185,507.5343411,TRUE,TRUE,2.7
14,25,0.25,1,235,558.1676963,TRUE,TRUE,2.7
15,25,0.25,1,175,489.2499718,TRUE,TRUE,2.7
16,25,0.25,1,245,538.548258,TRUE,TRUE,2.7
17,25,0.25,1,245,559.4961847,TRUE,TRUE,2.7
18,25,0.25,1,209,552.556917,TRUE,TRUE,2.7
19,25,0.25,1,194,492.7607602,TRUE,TRUE,2.7
0,25,0.25,1,244,535.1319028,TRUE,TRUE,2.9
1,25,0.25,1,205,541.2798733,TRUE,TRUE,2.9
2,25,0.25,1,165,503.9635701,TRUE,TRUE,2.9
3,25,0.25,1,185,529.8144156,TRUE,TRUE,2.9
4,25,0.25,1,195,539.9829871,TRUE,TRUE,2.9
5,25,0.25,1,165,489.1978041,TRUE,TRUE,2.9
6,25,0.25,1,190,519.2352808,TRUE,TRUE,2.9
7,25,0.25,1,185,521.1896532,TRUE,TRUE,2.9
8,25,0.25,1,195,501.2087333,TRUE,TRUE,2.9
9,25,0.25,1,175,525.5004359,TRUE,TRUE,2.9
10,25,0.25,1,175,502.4748772,TRUE,TRUE,2.9
11,25,0.25,1,205,508.9953166,TRUE,TRUE,2.9
12,25,0.25,1,190,540.9315362,TRUE,TRUE,2.9
13,25,0.25,1,185,529.7920301,TRUE,TRUE,2.9
14,25,0.25,1,180,540.4125244,TRUE,TRUE,2.9
15,25,0.25,1,220,512.4891121,TRUE,TRUE,2.9
16,25,0.25,1,150,513.3322622,TRUE,TRUE,2.9
17,25,0.25,1,165,524.0675021,TRUE,TRUE,2.9
18,25,0.25,1,194,539.9730722,TRUE,TRUE,2.9
19,25,0.25,1,220,498.7956076,TRUE,TRUE,2.9
0,25,0.25,1,200,532.9072655,TRUE,TRUE,3.1
1,25,0.25,1,160,516.1014321,TRUE,TRUE,3.1
2,25,0.25,1,179,501.8081813,TRUE,TRUE,3.1
3,25,0.25,1,165,532.2017742,TRUE,TRUE,3.1
4,25,0.25,1,170,533.2842488,TRUE,TRUE,3.1
5,25,0.25,1,160,486.3354984,TRUE,TRUE,3.1
6,25,0.25,1,165,507.692104,TRUE,TRUE,3.1
7,25,0.25,1,155,503.5563155,TRUE,TRUE,3.1
8,25,0.25,1,245,498.381452,TRUE,TRUE,3.1
9,25,0.25,1,160,528.3362197,TRUE,TRUE,3.1
10,25,0.25,1,200,527.4970782,TRUE,TRUE,3.1
11,25,0.25,1,160,510.7807989,TRUE,TRUE,3.1
12,25,0.25,1,210,543.7326361,TRUE,TRUE,3.1
13,25,0.25,1,180,543.151209,TRUE,TRUE,3.1
14,25,0.25,1,195,566.8167418,TRUE,TRUE,3.1
15,25,0.25,1,175,510.4096709,TRUE,TRUE,3.1
16,25,0.25,1,165,528.944522,TRUE,TRUE,3.1
17,25,0.25,1,175,539.2744173,TRUE,TRUE,3.1
18,25,0.25,1,190,530.7243357,TRUE,TRUE,3.1
19,25,0.25,1,140,469.7728443,TRUE,TRUE,3.1
0,25,0.25,1,150,514.658457,TRUE,TRUE,3.3
1,25,0.25,1,155,520.514384,TRUE,TRUE,3.3
2,25,0.25,1,130,499.0554157,TRUE,TRUE,3.3
3,25,0.25,1,160,523.9254708,TRUE,TRUE,3.3
4,25,0.25,1,170,535.8475155,TRUE,TRUE,3.3
5,25,0.25,1,134,469.9200922,TRUE,TRUE,3.3
6,25,0.25,1,140,498.831148,TRUE,TRUE,3.3
7,25,0.25,1,155,496.2093041,TRUE,TRUE,3.3
8,25,0.25,1,160,495.7586218,TRUE,TRUE,3.3
9,25,0.25,1,170,540.0131428,TRUE,TRUE,3.3
10,25,0.25,1,125,487.9225207,TRUE,TRUE,3.3
11,25,0.25,1,180,527.108279,TRUE,TRUE,3.3
12,25,0.25,1,170,547.4967081,TRUE,TRUE,3.3
13,25,0.25,1,160,522.3969134,TRUE,TRUE,3.3
14,25,0.25,1,235,554.618513,TRUE,TRUE,3.3
15,25,0.25,1,170,506.2772286,TRUE,TRUE,3.3
16,25,0.25,1,200,569.9880111,TRUE,TRUE,3.3
17,25,0.25,1,180,559.7961075,TRUE,TRUE,3.3
18,25,0.25,1,140,520.8068874,TRUE,TRUE,3.3
19,25,0.25,1,175,484.6866331,TRUE,TRUE,3.3
0,25,0.25,1,199,532.7956059,TRUE,TRUE,3.5
1,25,0.25,1,175,529.9504461,TRUE,TRUE,3.5
2,25,0.25,1,115,494.6763293,TRUE,TRUE,3.5
3,25,0.25,1,145,518.6250152,TRUE,TRUE,3.5
4,25,0.25,1,150,530.7796708,TRUE,TRUE,3.5
5,25,0.25,1,135,494.7533649,TRUE,TRUE,3.5
6,25,0.25,1,150,504.9789219,TRUE,TRUE,3.5
7,25,0.25,1,139,495.0238576,TRUE,TRUE,3.5
8,25,0.25,1,230,529.7352424,TRUE,TRUE,3.5
9,25,0.25,1,189,540.1482669,TRUE,TRUE,3.5
