seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
0,2,0.25,0.4,29,24.42516267,TRUE,TRUE
0,2,0.25,0.5,23,18.73652158,TRUE,TRUE
0,2,0.25,0.6,16,12.23955939,TRUE,TRUE
0,2,0.25,0.7,12,11.5475945,TRUE,TRUE
0,2,0.25,0.8,11,10.34177205,TRUE,TRUE
0,2,0.25,0.9,9,6.228838464,TRUE,TRUE
0,2,0.25,1,9,9.59542268,TRUE,TRUE
0,2,0.25,1.1,6,6.260756853,TRUE,TRUE
0,2,0.25,1.2,8,5.025918968,TRUE,TRUE
0,2,0.25,1.3,9,5.20395958,TRUE,TRUE
0,2,0.25,1.4,10,5.027308858,TRUE,TRUE
0,2,0.25,1.5,13,7.495963065,TRUE,TRUE
0,2,0.25,1.6,14,7.652776127,TRUE,TRUE
0,2,0.25,1.7,13,6.660609745,TRUE,TRUE
0,2,0.25,1.8,13,5.04346274,TRUE,TRUE
0,2,0.25,1.9,15,6.316538677,TRUE,TRUE
0,2,0.25,2,17,7.133318512,TRUE,TRUE
0,2,0.25,2.1,16,7.447129575,TRUE,TRUE
0,2,0.25,2.2,17,5.335780814,TRUE,TRUE
0,2,0.25,2.3,20,7.879836565,TRUE,TRUE
0,2,0.25,2.4,23,5.445332827,TRUE,TRUE
0,2,0.25,2.5,31,10.65233608,TRUE,TRUE
0,2,0.25,2.6,16,5.168547242,TRUE,TRUE
0,2,0.25,2.7,26,7.234883468,TRUE,TRUE
0,2,0.25,2.8,29,7.3666486,TRUE,TRUE
0,2,0.25,2.9,35,9.842761598,TRUE,TRUE
0,4,0.25,0.4,441,865.1980493,TRUE,TRUE
0,4,0.25,0.5,55,81.39380887,TRUE,TRUE
0,4,0.25,0.7,23,43.99142154,TRUE,TRUE
0,4,0.25,0.8,24,46.91968503,TRUE,TRUE
0,4,0.25,0.9,21,42.52172253,TRUE,TRUE
0,4,0.25,1,20,33.82857251,TRUE,TRUE
0,4,0.25,1.1,22,33.95644243,TRUE,TRUE
0,4,0.25,1.2,22,26.92526318,TRUE,TRUE
0,4,0.25,1.3,26,27.45355955,TRUE,TRUE
