seed,robot_count,spring_constant,damping_coefficient,iteration,moved_distance,connectivity,converged
0,2,1.0,0.2,73,9.659213940899999,true,true
0,2,1.0,0.4,82,10.3760028567,true,true
0,2,1.0,0.6,67,8.548859833,true,true
0,2,1.0,0.8,64,8.35114260365,true,true
0,2,1.0,1.0,59,7.4884103431,true,true
0,2,1.0,1.2,66,8.820588369100001,true,true
0,2,1.0,1.4,66,8.675368100199998,true,true
0,2,1.0,1.6,61,7.2073357389999995,true,true
0,2,1.0,1.8,64,8.11686005125,true,true
0,2,1.0,2.0,51,5.7598596777000015,true,true
0,2,1.0,2.2,52,5.9123775438,true,true
0,2,1.0,2.4,53,6.251301248300001,true,true
0,2,1.0,2.6,63,6.882067725399999,true,true
0,2,1.0,2.8,72,7.012242842999998,true,true
0,2,1.0,3.0,74,6.641831198049999,true,true
0,2,1.0,3.2,77,6.846984861699998,true,true
0,2,1.0,3.4,77,6.1889583659,true,true
0,2,1.0,3.6,82,6.2584982708,true,true
0,2,1.0,3.8,88,6.240425665349999,true,true
0,2,1.0,4.0,96,7.115913475749998,true,true
0,2,1.0,4.2,84,5.8856003893,true,true
0,2,1.0,4.4,103,7.396245696000001,true,true
0,2,1.0,4.6,93,5.3398993392,true,true
0,2,1.0,4.8,103,7.468038655000001,true,true
0,4,1.0,0.2,784,118.7107743845,true,true
0,4,1.0,0.4,365,62.931695737999995,true,true
0,4,1.0,0.6,281,50.0558972955,true,true
0,4,1.0,0.8,223,43.5402369445,true,true
0,4,1.0,1.0,204,40.0521298515,true,true
0,4,1.0,1.2,183,35.565171344499994,true,true
0,4,1.0,1.4,175,36.293302337,true,true
0,4,1.0,1.6,151,32.0970726795,true,true
0,4,1.0,1.8,155,31.074884986,true,true
0,4,1.0,2.0,156,32.7190614285,true,true
0,4,1.0,2.2,157,30.183914558500003,true,true
0,4,1.0,2.4,165,30.618325224500005,true,true
0,4,1.0,2.6,160,27.089813793,true,true
0,4,1.0,2.8,176,29.817478524999995,true,true
0,4,1.0,3.0,181,29.8025053985,true,true
0,4,1.0,3.2,186,30.507930031499995,true,true
0,4,1.0,3.4,189,28.961847820500008,true,true
0,4,1.0,3.6,184,27.729027103000004,true,true
0,4,1.0,3.8,190,27.049187113500004,true,true
0,4,1.0,4.0,183,25.3734446125,true,true
0,4,1.0,4.2,206,27.94555107,true,true
0,4,1.0,4.4,204,26.606759425999996,true,true
0,4,1.0,4.6,214,26.691839095499994,true,true
0,4,1.0,4.8,228,27.939285217499997,true,true
0,16,1.0,0.2,1467,703.9921193777777,true,true
0,16,1.0,0.4,573,421.67919763,true,true
0,16,1.0,0.6,439,359.78799009999994,true,true
0,16,1.0,0.8,377,327.211269215,true,true
0,16,1.0,1.0,349,315.84062769999997,true,true
0,16,1.0,1.2,333,307.89904107999996,true,true
0,16,1.0,1.4,351,297.73008017499996,true,true
0,16,1.0,1.6,344,289.86010809499993,true,true
0,16,1.0,1.8,332,279.25625823,true,true
0,16,1.0,2.0,351,277.05345809500005,true,true
0,16,1.0,2.2,369,281.4220668900001,true,true
0,16,1.0,2.4,363,272.37372651499993,true,true
0,16,1.0,2.6,432,280.67993445499997,true,true
0,16,1.0,2.8,405,276.666729055,true,true
0,16,1.0,3.0,430,274.903217835,true,true
0,16,1.0,3.2,439,273.63923708,true,true
0,16,1.0,3.4,442,274.09483968,true,true
0,16,1.0,3.6,480,271.42714101,true,true
0,16,1.0,3.8,442,262.09631181500004,true,true
0,16,1.0,4.0,484,271.4246427300001,true,true
0,16,1.0,4.2,499,264.539534435,true,true
0,16,1.0,4.4,497,265.34256789500006,true,true
0,16,1.0,4.6,511,264.18883161499997,true,true
0,16,1.0,4.8,526,265.21015746499995,true,true
0,64,1.0,0.4,865,2871.0866358,true,true
0,64,1.0,0.6,707,2632.1231721999998,true,true
0,64,1.0,0.8,640,2528.87032495,true,true
0,64,1.0,1.0,655,2486.0656272499996,true,true
0,64,1.0,1.2,688,2447.8476913000004,true,true
0,64,1.0,1.4,695,2431.2211323499996,true,true
0,64,1.0,1.6,705,2414.5945697,true,true
0,64,1.0,1.8,738,2413.073894650001,true,true
0,64,1.0,2.0,750,2384.73631015,true,true
0,64,1.0,2.2,779,2387.4609672,true,true
0,64,1.0,2.4,854,2388.2675855499997,true,true
0,64,1.0,2.6,830,2347.6920626499996,true,true
0,64,1.0,2.8,887,2370.0673543,true,true
0,64,1.0,3.0,920,2375.9841124000004,true,true
0,64,1.0,3.2,925,2357.7283460999997,true,true
0,64,1.0,3.4,961,2352.0481842500003,true,true
0,64,1.0,3.6,1030,2372.5606734499997,true,true
0,64,1.0,3.8,1087,2368.0366887499995,true,true
0,64,1.0,4.0,1090,2350.7355787999995,true,true
0,64,1.0,4.2,1062,2326.2752009,true,true
0,64,1.0,4.4,1127,2350.3960922500005,true,true
0,64,1.0,4.6,1140,2339.35576555,true,true
0,64,1.0,4.8,1203,2336.86157545,true,true
0,32,1.0,0.4,689,1081.1714949450002,true,true
0,32,1.0,0.6,547,961.5845689450001,true,true
0,32,1.0,0.8,486,911.9270867450001,true,true
0,32,1.0,1.0,457,875.7371373200001,true,true
0,32,1.0,1.2,473,863.1145617400001,true,true
0,32,1.0,1.4,467,845.6538407,true,true
0,32,1.0,1.6,478,837.027773455,true,true
0,32,1.0,1.8,499,828.847890845,true,true
0,32,1.0,2.0,508,817.86642099,true,true
0,32,1.0,2.2,495,809.617660685,true,true
0,32,1.0,2.4,571,817.359236145,true,true
0,32,1.0,2.6,583,809.1803616599999,true,true
0,32,1.0,2.8,565,800.30784462,true,true
0,32,1.0,3.0,590,799.62309772,true,true
0,32,1.0,3.2,607,798.5105185,true,true
0,32,1.0,3.4,645,796.09035846,true,true
0,32,1.0,3.6,639,794.0703387599999,true,true
0,32,1.0,3.8,653,788.1844602299999,true,true
0,32,1.0,4.0,678,792.57205456,true,true
0,32,1.0,4.2,713,795.17765301,true,true
0,32,1.0,4.4,718,786.6274289350001,true,true
0,32,1.0,4.6,750,792.788367245,true,true
0,32,1.0,4.8,752,783.9275212800001,true,true
