seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
0,25,0.25,1,109,521.7423207,TRUE,TRUE,0.5
1,25,0.25,1,123,552.2418419,TRUE,TRUE,0.5
2,25,0.25,1,105,527.8702638,TRUE,TRUE,0.5
3,25,0.25,1,151,567.2430465,TRUE,TRUE,0.5
4,25,0.25,1,102,552.8454841,TRUE,TRUE,0.5
5,25,0.25,1,138,546.4671629,TRUE,TRUE,0.5
6,25,0.25,1,150,552.4119945,TRUE,TRUE,0.5
7,25,0.25,1,131,544.2345693,TRUE,TRUE,0.5
8,25,0.25,1,137,544.6704522,TRUE,TRUE,0.5
9,25,0.25,1,91,522.1038617,TRUE,TRUE,0.5
10,25,0.25,1,103,501.9992529,TRUE,TRUE,0.5
11,25,0.25,1,130,558.2814361,TRUE,TRUE,0.5
12,25,0.25,1,134,554.6515679,TRUE,TRUE,0.5
13,25,0.25,1,124,559.7112097,TRUE,TRUE,0.5
14,25,0.25,1,110,554.6702552,TRUE,TRUE,0.5
15,25,0.25,1,124,546.2881967,TRUE,TRUE,0.5
16,25,0.25,1,138,604.0371127,TRUE,TRUE,0.5
17,25,0.25,1,111,537.9812537,TRUE,TRUE,0.5
18,25,0.25,1,111,541.6414174,TRUE,TRUE,0.5
19,25,0.25,1,111,508.803018,TRUE,TRUE,0.5
0,25,0.25,1,65,524.1259214,TRUE,TRUE,0.7
1,25,0.25,1,88,536.8368683,TRUE,TRUE,0.7
2,25,0.25,1,64,508.2873202,TRUE,TRUE,0.7
3,25,0.25,1,106,578.8634112,TRUE,TRUE,0.7
4,25,0.25,1,85,561.313414,TRUE,TRUE,0.7
5,25,0.25,1,87,539.6967778,TRUE,TRUE,0.7
6,25,0.25,1,82,542.9203194,TRUE,TRUE,0.7
7,25,0.25,1,90,544.625,TRUE,TRUE,0.7
8,25,0.25,1,94,535.4145375,TRUE,TRUE,0.7
9,25,0.25,1,102,565.2312797,TRUE,TRUE,0.7
10,25,0.25,1,75,508.5636384,TRUE,TRUE,0.7
11,25,0.25,1,64,506.129466,TRUE,TRUE,0.7
12,25,0.25,1,95,587.8506757,TRUE,TRUE,0.7
13,25,0.25,1,81,541.8946276,TRUE,TRUE,0.7
14,25,0.25,1,80,561.4513203,TRUE,TRUE,0.7
15,25,0.25,1,75,538.2025934,TRUE,TRUE,0.7
16,25,0.25,1,81,560.686215,TRUE,TRUE,0.7
17,25,0.25,1,93,563.4360671,TRUE,TRUE,0.7
